((0, 6), (4, 6), (0, 4), (0, 3), (1, 3))
((0, 6), (0, 5), (0, 4), (2, 4), (0, 2))
((0, 6), (2, 6), (2, 5), (2, 4), (0, 2))
((4, 7), (4, 6), (0, 4), (0, 3), (0, 2))
((3, 7), (3, 6), (3, 5), (0, 3), (0, 2))
((5, 7), (0, 5), (3, 5), (0, 3), (1, 3))
((0, 6), (4, 6), (0, 4), (0, 3), (0, 2))
((5, 7), (0, 5), (0, 4), (0, 3), (1, 3))
((0, 6), (3, 6), (3, 5), (0, 3), (1, 3))
((5, 7), (0, 5), (3, 5), (0, 3), (0, 2))
((5, 7), (0, 5), (0, 4), (0, 3), (0, 2))
((0, 6), (3, 6), (3, 5), (0, 3), (0, 2))
((0, 6), (0, 5), (0, 4), (1, 4), (1, 3))
((5, 7), (0, 5), (2, 5), (2, 4), (0, 2))
((0, 6), (0, 5), (1, 5), (1, 4), (1, 3))
((4, 7), (4, 6), (0, 4), (2, 4), (0, 2))
((0, 6), (0, 5), (0, 4), (0, 3), (1, 3))
((0, 6), (4, 6), (0, 4), (2, 4), (0, 2))
((1, 7), (1, 6), (1, 5), (1, 4), (1, 3))
((0, 6), (0, 5), (0, 4), (0, 3), (0, 2))
((0, 6), (4, 6), (0, 4), (1, 4), (1, 3))
((0, 6), (0, 5), (3, 5), (0, 3), (1, 3))
((4, 7), (4, 6), (0, 4), (1, 4), (1, 3))
((5, 7), (0, 5), (0, 4), (2, 4), (0, 2))
((5, 7), (0, 5), (0, 4), (1, 4), (1, 3))
((0, 6), (0, 5), (3, 5), (0, 3), (0, 2))
((5, 7), (0, 5), (1, 5), (1, 4), (1, 3))
((0, 6), (0, 5), (2, 5), (2, 4), (0, 2))
((0, 6), (1, 6), (1, 5), (1, 4), (1, 3))
((2, 7), (2, 6), (2, 5), (2, 4), (0, 2))
((4, 7), (4, 6), (0, 4), (0, 3), (1, 3))
((3, 7), (3, 6), (3, 5), (0, 3), (1, 3))
